data,dia_semana,hora,natureza,bairro,logradouro_endereco,endereco,logradouro_detalhe_endereco,detalhe_endereco_acidente,complemento,bairro_cruzamento,num_semaforo,sentido_via,tipo,auto,moto,ciclom,ciclista,pedestre,onibus,caminhao,viatura,outros,vitimas,vitimasfatais,acidente_verificado,tempo_clima,situacao_semaforo,sinalizacao,condicao_via,conservacao_via,ponto_controle,situacao_placa,velocidade_max_via,mao_direcao,divisao_via1,divisao_via2,divisao_via3
2021-11-12,sexta-feira ,17:15:00,COM VÍTIMA,VASCO DA GAMA,AVENIDA,AVENIDA VEREADOR OTACILIO AZEVEDO,RUA,RUA TUPIRACABA,APÓS A UPA,VASCO DA GAMA,,SUBURBIO,COLISÃO FRONTAL,0,1,0,0,0,1,0,0,0,1,0,Cruzamento,Bom,Não existe,Não existente,Seca,Perfeito estado,Não existe,Não hA placas,,Dupla,Não existe,,
2021-11-12,sexta-feira ,18:21:00,COM VÍTIMA,LINHA DO TIRO,RUA,RUA URIEL DE HOLANDA,RUA,RUA TAGUATINGA,"NA LADEIRA, PRÓX AO CLUBE BELA VISTA",LINHA DO TIRO,,,ENGAVETAMENTO,1,1,0,0,0,0,1,0,0,4,0,Cruzamento,Bom,Não existe,,,,,,,,,,
2021-11-12,sexta-feira ,21:11:40,COM VÍTIMA,CORDEIRO,AVENIDA,AVENIDA ENGENHEIRO ABDIAS DE CARVALHO,,,PROX AO SUPERMECADO DO ATACAREJO,CORDEIRO,687,CIDADE,COLISÃO TRANSVERSAL,1,1,0,0,0,0,0,0,0,1,0,Longo da via,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,Não hA placas,,,Faixa seccionada,,
2021-11-12,sexta-feira ,21:49:40,COM VÍTIMA,TAMARINEIRA,AVENIDA,AVENIDA CONS ROSA E SILVA,RUA,RUA SIMAO MENDES,FARMACIA PAGUE MENOS,TAMARINEIRA,253,S,COLISÃO TRANSVERSAL,1,1,0,0,0,0,0,0,0,1,0,Cruzamento,Chuvoso,Sem defeito,Perfeito estado,Molhada,Perfeito estado,Faixa de pedestre,Outras,,Única,Faixa contínua,,
2021-11-12,sexta-feira ,22:33:40,VÍTIMA FATAL,IPUTINGA,RUA,RUA BOM PASTOR,RUA,RUA MAURICEIA,EM FRENTE PONTO DO PASTEL,IPUTINGA,652,SUBURBIO,ATROPELAMENTO DE PESSOA,1,0,0,0,3,0,0,0,0,3,1,Longo da via,Bom,Intermitente,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,Não hA placas,,Dupla,Faixa seccionada,,
2021-11-13,sábado ,08:24:00,SEM VÍTIMA,VARZEA,RUA,RUA EMETERIO MACIEL,,,E/F AO CONJUNTO RESIDENCIAL PORTINARI,VARZEA,,,COLISÃO FRONTAL,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
2021-11-13,sábado ,18:14:00,COM VÍTIMA,VARZEA,RUA,RUA AMARO GOMES POROCA,,,PRÓXIMO AO RESTAURANTE BRAZETUS,VARZEA,,,COLISÃO COM CICLISTA,0,0,0,1,0,1,0,0,0,1,0,Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,Não hA placas,,Dupla,Faixa seccionada,,
2021-11-13,sábado ,20:17:00,SEM VÍTIMA,AFLITOS,RUA,RUA DO FUTURO,,,E/F AO EDFC SAO NICOLAU,AFLITOS,,,COLISÃO TRASEIRA,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
2021-11-13,sábado ,23:14:40,COM VÍTIMA,TORRE,RUA,RUA JOSE BONIFACIO,,,EM FRENTE AO CARREFOUR DA TORRE,TORRE,,,COLISÃO LATERAL,1,1,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,
2021-11-14,domingo ,12:43:00,COM VÍTIMA,IPUTINGA,AVENIDA,AVENIDA MAURICIO DE NASSAU,EST,EST DO BARBALHO,NO SEMAFORO 246,IPUTINGA,246,CIDADE,COLISÃO FRONTAL,2,0,0,0,0,0,0,0,0,1,0,Cruzamento,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,Não hA placas,,Dupla,Faixa contínua,,
2021-11-14,domingo ,13:14:00,SEM VÍTIMA,BOA VIAGEM,RUA,RUA PROFESSOR EDUARDO WANDERLEY FILHO,,,E/F A  CASA SAO PAULO SUPERMERCADO,BOA VIAGEM,,,COLISÃO LATERAL,0,1,0,0,0,0,0,1,0,0,0,Cruzamento,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,"Placas ""Pare""",,Dupla,Faixa seccionada,,
2021-11-14,domingo ,15:57:00,COM VÍTIMA,ALTO JOSE DO PINHO,RUA,RUA ACAIACA,,,MERCADINHO SANTA FÉ,ALTO JOSÉ DO PINHO,,,CHOQUE,2,1,0,0,0,0,0,0,0,1,0,Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,Não hA placas,,Dupla,Não existe,,
2021-11-14,domingo ,21:31:40,COM VÍTIMA,MUSTARDINHA,RUA,RUA VINTE E UM DE ABRIL,AVENIDA,AVENIDA MUSTARDINHA,lado oposto ao numero 1245,MUSTARDINHA,,SUBURBIO,COLISÃO TRASEIRA,1,1,0,0,0,0,0,0,0,1,0,Longo da via,Bom,Não existe,Perfeito estado,Seca,Mal iluminada,Não existe,Não hA placas,,Dupla,Faixa seccionada,,
2021-11-14,domingo ,22:20:40,COM VÍTIMA,PINA,RUA,RUA TOME GIBSON,AVENIDA,AVENIDA ENGENHEIRO DOMINGOS FERREIRA,PRÓX A ESCOLA OSVALDO LIMA FILHO,PINA,200,SUBURBIO,COLISÃO FRONTAL,1,1,0,0,0,0,0,0,0,1,0,Cruzamento,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,R-6a,60 km/h,Dupla,Faixa contínua,,
2021-11-15,segunda-feira ,19:09:00,COM VÍTIMA,IMBIRIBEIRA,AVENIDA,AVENIDA MARECHAL MASCARENHAS DE MORAES,,,"PRÓX AO AÇAI ATACADISTA, SNT CENTRO / E/F A SAEL BMW",IMBIRIBEIRA,,SUBURBIO,COLISÃO TRASEIRA,1,1,0,0,0,0,0,0,0,1,0,Longo da via,Bom,Não existe,Incompleta,Seca,Perfeito estado,Não existe,Não hA placas,60 km/h,Dupla,Canteiro central,,
2021-11-15,segunda-feira ,19:22:00,SEM VÍTIMA,BOA VIAGEM,AVENIDA,AVENIDA ENGENHEIRO DOMINGOS FERREIRA,,,E/F AO COLÉGIO NÚCLEO E BANCO DO BRASIL,BOA VIAGEM,,,COLISÃO TRASEIRA,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
2021-11-15,segunda-feira ,20:23:00,COM VÍTIMA,CORDEIRO,AVENIDA,AVENIDA GENERAL SAN MARTIN,,,E/F A IGREJA NOVA BATISTA DO CORDEIRO,CORDEIRO,,,COLISÃO LATERAL,1,1,0,0,0,0,0,0,0,1,0,Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,R-6a,,Dupla,Faixa contínua,,
2021-11-16,terça-feira ,00:39:00,COM VÍTIMA,ARRUDA,RUA,RUA DO MACHADO,RUA,RUA DO TRIUNFO,PADARIA CENTRAL,ARRUDA,,SUBURBIO,COLISÃO FRONTAL,1,1,0,0,0,0,0,0,0,2,0,Cruzamento,Bom,Não existe,Ilegível,Seca,,Não existe,"Placas ""Pare""",30 km/h,Dupla,Não existe,,
2021-11-16,terça-feira ,07:32:00,COM VÍTIMA,CASA AMARELA,RUA,RUA DOIS DE FEVEREIRO,,,PROX. A SAULO MOTOS,CASA AMARELA,,CIDADE,COLISÃO FRONTAL,1,1,0,0,0,0,0,0,0,1,0,Longo da via,Bom,Não existe,Incompleta,Seca,Perfeito estado,Não existe,R-19,30 km/h,Dupla,Não existe,,
